# Iteration, avehdxdev, chisquare, lambdamod, deltalambdamod, rate, Bh, Bc, work 
  100 0.00301274759914 4.70881244548e-05 6.07311738617 0.00673632063011 0.000250222197557 2.0 0.35 2.97875099357
  200 0.00109716319653 6.21817907784e-06 6.35124442519 0.00352244876243 0.000419350570281 2.0 0.35 2.86426126154
  300 0.00103012580554 5.25329098772e-06 6.41395559509 0.00186865783047 0.000271238932612 2.0 0.35 2.70289432353
  400 0.000915751351128 4.07545383199e-06 6.44132730993 0.0011107373876 0.000185292802379 2.0 0.35 2.6146443714
  500 0.000796304140795 3.05312670381e-06 6.45816262581 0.000673023665257 0.000129404973467 2.0 0.35 2.56662611655
  600 0.000551439571547 1.46440284859e-06 6.47237949532 0.000432857740458 0.000113481701396 2.0 0.35 2.54936978323
  700 0.000333099213675 5.42311482623e-07 6.48456088276 0.000262683808184 0.000114089055118 2.0 0.35 2.54361495937
  800 0.000195366508908 1.95877183918e-07 6.49400508305 0.000159475943295 0.000118130297909 2.0 0.35 2.54065156333
  900 0.000116419505586 7.79284351466e-08 6.50147583626 9.58345272517e-05 0.000120386971395 2.0 0.35 2.5387353814
 1000 6.98161024748e-05 3.59572018975e-08 6.50768893996 5.59755880759e-05 0.000121911159944 2.0 0.35 2.53763404586
 1100 4.11618874494e-05 2.06243552915e-08 6.51298722877 3.03200780609e-05 0.000125573386733 2.0 0.35 2.53707126011
 1200 2.56084622022e-05 1.53255955926e-08 6.51755967446 1.22306133374e-05 0.00013747465335 2.0 0.35 2.53670773529
 1300 2.56861342545e-05 1.45564857636e-08 6.52169010848 1.19174896416e-05 0.000137058945079 2.0 0.35 2.53722265142
 1400 2.50218085492e-05 1.37751206371e-08 6.52542232842 1.04931765345e-05 0.000137918710861 2.0 0.35 2.53760751884
 1500 2.46344909778e-05 1.31353377123e-08 6.52883512008 9.53021243308e-06 0.000138696713247 2.0 0.35 2.53796959048
 1600 2.44983377607e-05 1.26139514872e-08 6.53197964451 8.97267826808e-06 0.00013808325656 2.0 0.35 2.5383147548
 1700 2.4263453751e-05 1.21341059931e-08 6.53491696513 8.55046940053e-06 0.00013941998089 2.0 0.35 2.53861920411
 1800 2.3843731953e-05 1.16586816967e-08 6.53766701439 7.15286987812e-06 0.000140466022357 2.0 0.35 2.53885064233
 1900 2.38589215352e-05 1.13214841779e-08 6.54024040467 7.05995731547e-06 0.000140376595842 2.0 0.35 2.53913430726
 2000 2.3905297665e-05 1.10265686696e-08 6.54264932782 7.05974609591e-06 0.000140104266114 2.0 0.35 2.53940076754
 2100 2.34460616366e-05 1.06504901985e-08 6.54489711052 5.36009152438e-06 0.000141430634427 2.0 0.35 2.53954455448
 2200 2.34041034952e-05 1.039329564e-08 6.54702080369 5.11428837791e-06 0.000141684186825 2.0 0.35 2.53975817757
 2300 2.34398245919e-05 1.0174803728e-08 6.54902445844 5.1582510022e-06 0.000141468267353 2.0 0.35 2.53997357811
 2400 2.34829426584e-05 9.97801728548e-09 6.55091623014 5.23535240567e-06 0.000141208511229 2.0 0.35 2.54017652097
 2500 2.35202926132e-05 9.79728170229e-09 6.55270489187 5.2926196167e-06 0.000140984273734 2.0 0.35 2.5403652137
 2600 2.31151133173e-05 9.53117776565e-09 6.55438358816 3.48149379395e-06 0.000142031685718 2.0 0.35 2.54042847422
 2700 2.3016405333e-05 9.34792459157e-09 6.55598208208 2.90085361497e-06 0.000142640801747 2.0 0.35 2.54055532287
 2800 2.29699355785e-05 9.18844295875e-09 6.55750202027 2.59575342034e-06 0.000142929373868 2.0 0.35 2.54068959089
 2900 2.29423840206e-05 9.04352331021e-09 6.55894806153 2.3973760462e-06 0.000143101018058 2.0 0.35 2.54082178406
 3000 2.29233883779e-05 8.90990000091e-09 6.56032493371 2.25292845616e-06 0.000143219599821 2.0 0.35 2.54094939288
 3100 2.29097304549e-05 8.78585886376e-09 6.56163705404 2.14192026424e-06 0.000143304981981 2.0 0.35 2.54107181944
 3200 2.29003227536e-05 8.67031648264e-09 6.56288848955 2.05666652364e-06 0.000143363853224 2.0 0.35 2.54118918467
 3300 2.28948327495e-05 8.56255715897e-09 6.56408298165 1.99652210464e-06 0.000143398230768 2.0 0.35 2.5413019805
 3400 2.28941289503e-05 8.46217885312e-09 6.56522397877 1.96675845361e-06 0.000143402639041 2.0 0.35 2.54141101009
 3500 2.29007388401e-05 8.36917148273e-09 6.56631467223 1.98039099566e-06 0.000143361248427 2.0 0.35 2.54151750464
 3600 2.29201185329e-05 8.28398662477e-09 6.56736044261 2.07632136217e-06 0.00014324003191 2.0 0.35 2.54162312192
 3700 2.29562157066e-05 8.20766697273e-09 6.56836995756 2.24551348778e-06 0.000143014796166 2.0 0.35 2.54172992038
 3800 2.30140490198e-05 8.14162805888e-09 6.56933617302 2.53215419584e-06 0.000142655406147 2.0 0.35 2.54183963372
 3900 2.29079844966e-05 8.042030738e-09 6.57025321043 1.88979469113e-06 0.000140485059848 2.0 0.35 2.54188908614
 4000 2.28112527233e-05 7.95088121599e-09 6.57112038057 1.31314878178e-06 0.000141080790785 2.0 0.35 2.54193718943
 4100 2.28028257501e-05 7.88209808414e-09 6.57195379757 1.243129448e-06 0.00014113292836 2.0 0.35 2.54201267143
 4200 2.27974818298e-05 7.8171760296e-09 6.57275368149 1.19255256833e-06 0.000141166011098 2.0 0.35 2.54208626487
 4300 2.27925164825e-05 7.75534160123e-09 6.57352165502 1.14504814621e-06 0.000141196764098 2.0 0.35 2.5421571565
 4400 2.27878141868e-05 7.69637774239e-09 6.5742592803 1.09988220787e-06 0.000141225900238 2.0 0.35 2.54222546668
 4500 2.27833523603e-05 7.64010346765e-09 6.57496801975 1.05688413084e-06 0.000141253557514 2.0 0.35 2.54229133569
 4600 2.2779113584e-05 7.58635383208e-09 6.57564924282 1.01591616156e-06 0.000141279842217 2.0 0.35 2.54235489307
 4700 2.27750821722e-05 7.53497760041e-09 6.57630423366 9.76852591407e-07 0.000141304850128 2.0 0.35 2.54241625763
 4800 2.27712438771e-05 7.4858357737e-09 6.57697060137 1.03437030935e-06 0.000141328668314 2.0 0.35 2.54247553859
 4900 2.27675857351e-05 7.43880032316e-09 6.57763874345 9.97910790176e-07 0.00014135137605 2.0 0.35 2.5425328365
 5000 2.27640959323e-05 7.39375308107e-09 6.57828347439 9.62957599853e-07 0.000141373045631 2.0 0.35 2.54258824422
 5100 2.27607636872e-05 7.35058476608e-09 6.57890575031 9.29427639528e-07 0.000141393743076 2.0 0.35 2.54264184762
 5200 2.27575791446e-05 7.30919412405e-09 6.57950647541 8.97244144574e-07 0.000141413528765 2.0 0.35 2.54269372632
 5300 2.27545332825e-05 7.26948716899e-09 6.58008650586 8.66336088922e-07 0.000141432458009 2.0 0.35 2.54274395434
 5400 2.27516178279e-05 7.23137651061e-09 6.58064665335 8.36637643026e-07 0.000141450581552 2.0 0.35 2.5427926006
