arm,rho,noise_replicate,split_replicate,ols_intercept,ols_distortion_slope,ols_r_squared,residual_distortion_correlation,residual_mean_t0.167,residual_mean_t1,residual_mean_t10,residual_mean_t60,residual_mean_t120
RW-Only,1000.0,0,0,0.006640093553052125,-301.9844918863034,0.12305833008234679,-0.3507967076275757,0.029654760157630456,0.04454105444055922,0.03669753166106062,0.03070170653538526,0.02628164226835468
RW-Only,1000.0,0,1,0.006718272790167095,-303.58250872615054,0.13188222538208505,-0.36315592433841004,0.029022186730383016,0.043904157511408325,0.03690247293759264,0.031704253849761145,0.027447188866092955
RW-Only,1000.0,0,2,0.006670000648992555,-304.6378367555884,0.12727532327312807,-0.35675667235964614,0.029634786818033016,0.044594750245204394,0.03677419168960334,0.031240943813401627,0.02696487197540082
BV-RW,1000.0,0,0,0.0031853357507215553,-37.71393891599196,0.002133698429068298,-0.046191973643353736,0.017199846515360065,0.022217270276010195,0.005898461784600502,-0.003384221771707016,-0.009185367303880518
BV-RW,1000.0,0,1,0.0033902067542611026,-36.897760063797485,0.0021861917424674804,-0.046756729381635366,0.01653853323189783,0.021696245471644105,0.005924609333244653,-0.002510626854815401,-0.008242408496474571
BV-RW,1000.0,0,2,0.0032227361771715052,-39.0303636531689,0.002336563753378651,-0.04833801561275306,0.01712952588212733,0.02221002124473664,0.005840846808506085,-0.0030083618717787835,-0.00865195360402567
RW-BV,1000.0,0,0,0.0029557182506830533,0.305411194784372,1.408042800132847e-07,0.00037523896375884764,0.015522067238325278,0.018410038802620883,0.0011732418638191284,-0.007519197547968023,-0.012943763539679808
RW-BV,1000.0,0,1,0.0025413810405236804,33.64211822126801,0.001725966704118731,0.04154475543457567,0.013797233257244223,0.01614868811472975,-0.0022797269914998247,-0.011921676537668789,-0.01804101076849354
RW-BV,1000.0,0,2,0.0029213452299899265,-8.111961389826208,0.00010125177086683923,-0.010062393893439946,0.015559604759870137,0.01983100118202004,0.0027147645673846893,-0.00686237057926917,-0.013018576893892917
RW-Only,1.0,0,0,0.009311725038277508,-1.3724419074828484,0.5551901396776386,-0.7451108237555258,0.061679219244597974,0.0990419397373312,0.10966660405519692,0.09610236720092376,0.09292963299995906
RW-Only,1.0,0,1,0.009275331761789938,-1.375584333993005,0.57334454300914,-0.7571951815807731,0.060890253418927176,0.09820241813518127,0.10977471582085188,0.09716619189108536,0.09414952957550995
RW-Only,1.0,0,2,0.009363064891275455,-1.3760984295535923,0.5604223388657574,-0.7486136111945585,0.061719126445134276,0.09920804462452006,0.10972933730962744,0.09657921046194348,0.09354070705926869
BV-RW,1.0,0,0,-0.0019537463792187546,-0.2515199773450461,0.03699874366136091,-0.19235057489220264,0.02693254532712864,0.035635378505975916,0.01898545013825281,-0.0037788493150546724,-0.011880437221419574
BV-RW,1.0,0,1,-0.0014394201489217645,-0.24281008011567007,0.037435739532711954,-0.19348317635575446,0.025821741563601158,0.0350584644105256,0.018548678135548065,-0.00279190694022685,-0.010791389943673969
BV-RW,1.0,0,2,-0.0018776576585825835,-0.2505320765312417,0.03739349062198938,-0.1933739657295919,0.026835140255377758,0.035629779982883164,0.01877991509600587,-0.003607297196605341,-0.011660189699487955
RW-BV,1.0,0,0,-0.002927919178444917,-0.10711487249519325,0.0065571711782168585,-0.08097636184848696,0.023708904755536997,0.027367933542472994,0.007316291315713827,-0.016548965061644216,-0.024261217603716297
RW-BV,1.0,0,1,-0.0032923453388680585,-0.0731952479022968,0.0031785205707021147,-0.05637836970596328,0.021771909489836087,0.026267378761064823,0.004721890099313796,-0.019283590265694893,-0.027920551592029576
RW-BV,1.0,0,2,-0.0031489703522522465,-0.09537879365477443,0.005397122425624845,-0.07346511026075545,0.022258046225349878,0.027546222099906325,0.006515216055549549,-0.017320460167079707,-0.02605180742248562
RW-Only,0.01,0,0,0.023806366343588462,-1.0068491611738914,0.919251488735709,-0.9587760367967637,0.13195962060176541,0.25499959573063413,0.41795807010900926,0.4813049616207384,0.4864818411907844
RW-Only,0.01,0,1,0.023529823592213558,-1.0062502373068523,0.918992113068447,-0.9586407633041935,0.13147556593723286,0.2541826122413044,0.41733371788538665,0.4810489337250033,0.48629685935023437
RW-Only,0.01,0,2,0.023873007321251524,-1.0071330575431157,0.9198996425965689,-0.9591139883228524,0.13197723004391745,0.2552550802518893,0.41798742695762436,0.4815017688314754,0.4867820659933991
BV-RW,0.01,0,0,-0.007597819338988717,-0.008484945562366602,0.0006187376466059158,-0.024874437613858442,0.011143719478546981,0.02246361371963256,0.014528069886654928,-0.022670187115614346,-0.04951844260114346
BV-RW,0.01,0,1,-0.007032394463788524,-0.003348443576273482,0.00010356287560031596,-0.010176584672687658,0.010262714763782292,0.021086340135560815,0.012889983297473139,-0.023579206103518616,-0.050322243543014476
BV-RW,0.01,0,2,-0.007357525660071101,-0.006255123075876158,0.0003467457809120944,-0.018621111162123213,0.010717555567310466,0.022014268089808182,0.013923701469097095,-0.023142530929507826,-0.050027064255247645
RW-BV,0.01,0,0,-0.0084098356392404,-0.004145104610735425,0.00013888335054779155,-0.011784878045515522,0.011730081455252896,0.02333255861408775,0.013875045488704,-0.027623961490475513,-0.05655488695851761
RW-BV,0.01,0,1,-0.010401677204186825,0.002964616569098232,7.387185508800354e-05,0.008594873768010805,0.009768114813398029,0.019818434532899127,0.007829182934757378,-0.03283033223653785,-0.061462940615701844
RW-BV,0.01,0,2,-0.01138216515574061,0.009054401482853738,0.0006870369649928376,0.02621138998589432,0.009320359248870754,0.01889345034222446,0.005086660504098718,-0.037749914080890616,-0.06733253937863894
