ensemble,arm,rho,noise_replicate,split_replicate,split_type,open_population,closed_population,recovery,train_mse,val_mse,train_val_gap,delta_G_opt_kj,delta_H_opt_kj,minus_T_delta_S_opt_kj,delta_H_abs_kj,kl_divergence_nats,beta_C,beta_H,delta_recovery,delta_train_mse,delta_val_mse,delta_train_val_gap,delta_delta_G_opt_kj,delta_open_population,delta_beta_C,delta_beta_H
ISO-Bimodal,RW-Only,1000.0,0,0,R3,0.0747751575269056,0.9252248424730944,66.31832543278713,0.009682089515652173,0.014428208631480945,0.004746119115828772,3.0765629034863378,0.06951963823986117,3.1221118420071257,0.022245698813437416,0.015217633963563269,0.35,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-Only,1000.0,0,1,R3,0.10764543070453796,0.8923545692954622,70.77342338680445,0.013432128976000001,0.009904023590161671,-0.00352810538583833,5.455028138357134,0.1298697962711333,5.544339258882956,0.02092579185629905,0.03774857695606241,0.35,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-Only,1000.0,0,2,R3,0.08448067777856946,0.9155193222214306,67.69149265244616,0.01245821221148936,0.011655530132771066,-0.0008026820787182948,3.4345674743130985,0.0799425896044427,3.488749364774516,0.01616550359993377,0.019736357251147238,0.35,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,BV-RW,1000.0,0,0,R3,0.07651168643404474,0.9234883135659553,66.56813664685457,0.007207299083333334,0.012476942723318356,0.0052696436399850225,2.542320055918531,0.06599886723272509,2.5835543118943267,0.009272549668398133,0.01112291986132212,0.3601181478597657,2.2000791626073446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,BV-RW,1000.0,0,1,R3,0.11002069786309958,0.8899793021369006,71.07618691667709,0.010443913573428571,0.008355160022905078,-0.0020887535505234936,5.225711719073494,0.13106437490576908,5.311429598035078,0.008034541415038916,0.03517024110882909,0.37084692927672586,1.9056690224220207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,BV-RW,1000.0,0,2,R3,0.08612977802092077,0.9138702219790793,67.9195047421826,0.010013414634609929,0.00957788056810624,-0.0004355340665036893,3.133898181025994,0.08135989349602574,3.1873607756283104,0.004623249209488907,0.01797380177110955,0.37109153607308437,1.8347224622841223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-BV,1000.0,0,0,R3,0.08896708867000434,0.9110329113299958,68.30844538526408,0.006876304681304348,0.012588013730178937,0.005711709048874589,7.7699583001703845,0.2674735794705605,7.828305929429738,0.9006691752254273,0.020124370729228094,0.3592605123824418,2.207989527603261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-BV,1000.0,0,1,R3,0.08896708867000434,0.9110329113299958,68.30844538526408,0.010927684727285714,0.008771810673477817,-0.0021558740538078977,9.347852490957465,0.29964484191412877,9.420959860371873,1.0127656494884454,0.020124370729228094,0.36788558901966967,1.987880880627559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-BV,1000.0,0,2,R3,0.08896708867000434,0.9110329113299958,68.30844538526408,0.010050849298297871,0.00942322653737475,-0.0006276227609231209,11.460919723540558,0.30314533798502896,11.564530363936251,0.8924189004325151,0.020124370729228094,0.3701280225433279,1.845534187704347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-Only,1.0,0,0,R3,0.07147011080716158,0.9285298891928384,65.83755175587305,0.029049484956666666,0.03309315856718949,0.004043673610522821,3.8024108086443666,0.08177453997703019,3.8568268266299484,0.046243885209931494,0.03348018981012245,0.35,2.0,-0.4807736769140831,0.01936739544101449,0.018664949935708542,-0.000702445505305951,0.7258479051580289,-0.0033050467197440203,0.0,0.0
ISO-Bimodal,RW-Only,1.0,0,1,R3,0.10434160185151703,0.895658398148483,70.34854370602123,0.03445762248057142,0.02710024773159997,-0.007357374748971454,6.169985537857814,0.14214461882189752,6.268277743183105,0.04614704267605875,0.05750374494891558,0.35,2.0,-0.4248796807832207,0.021025493504571422,0.017196224141438298,-0.003829269363133124,0.7149573995006797,-0.0033038288530209264,0.0,0.0
ISO-Bimodal,RW-Only,1.0,0,2,R3,0.07887577154282673,0.9211242284571735,66.9052534187908,0.03247591917929078,0.029933622216971024,-0.002542296962319758,3.7566024791428276,0.08297863769614516,3.81080355964587,0.0393651780118083,0.03375840056602383,0.35,2.0,-0.7862392336553512,0.020017706967801422,0.01827809208419996,-0.0017396148836014633,0.32203500482972913,-0.005604906235742738,0.0,0.0
ISO-Bimodal,BV-RW,1.0,0,0,R3,0.07932414239918005,0.92067585760082,66.96881340067091,0.009192917936521739,0.013805517353341507,0.004612599416819768,2.6618754419240567,0.07550899053787404,2.7017865469542537,0.011534490425354989,0.01348309340189814,0.38658522748790936,2.424285785402126,0.4006767538163416,0.001985618853188405,0.0013285746300231507,-0.0006570442231652544,0.11955538600552584,0.0028124559651353104,0.026467079628143653,0.2242066227947812
ISO-Bimodal,BV-RW,1.0,0,1,R3,0.12380110670248516,0.8761988932975149,72.79137899058826,0.01274751612842857,0.00890545195638363,-0.00384206417204494,5.534565867895635,0.1672701176951833,5.626474714372517,0.009859267973369782,0.04926952037269634,0.4062917930854273,1.8404850159975419,1.7151920739111688,0.002303602554999999,0.0005502919334785528,-0.0017533106215214464,0.30885414882214146,0.013780408839385583,0.03544486380870143,-0.06518400642447886
ISO-Bimodal,BV-RW,1.0,0,2,R3,0.08824536780424412,0.9117546321957559,68.20990695767757,0.011296833777588652,0.011554372487608856,0.00025753871002020395,3.025519121376147,0.09089260218710601,3.0750557284691236,0.00865521122055584,0.019928761047891846,0.4050954057112128,1.8505936086452839,0.2904022154949786,0.0012834191429787235,0.0019764919195026168,0.0006930727765238932,-0.10837905964984706,0.0021155897833233517,0.0340038696381284,0.015871146361161603
ISO-Bimodal,RW-BV,1.0,0,0,R3,0.08489582806716846,0.9151041719328316,67.74903108460045,0.008331609671014492,0.014768073006442667,0.006436463335428175,20.29439715576776,0.7944844432660056,20.414777032616712,2.7868043033927954,0.03210172194599094,0.3853363549936854,2.4217455947875695,-0.559414300663633,0.0014553049897101447,0.0021800592762637305,0.0007247542865535857,12.524438855597378,-0.0040712606028358855,0.026075842611243627,0.2137560671843084
ISO-Bimodal,RW-BV,1.0,0,1,R3,0.08489582806716846,0.9151041719328316,67.74903108460045,0.013612435984285715,0.009207308418569302,-0.004405127565716413,24.186205743757586,0.8681817194596336,24.356668816167,2.902629590610242,0.03210172194599094,0.40259981050471855,1.9198408509743954,-0.559414300663633,0.0026847512570000003,0.000435497745091485,-0.0022492535119085152,14.838353252800122,-0.0040712606028358855,0.03471422148504888,-0.06804002965316358
