arm,rho,noise_replicate,n_dropped,split_replicate,ols_intercept,ols_distortion_slope,ols_r_squared,residual_distortion_correlation,residual_mean_t0.167,residual_mean_t1,residual_mean_t10,residual_mean_t60,residual_mean_t120
RW-Only,1000.0,0,15,0,0.014056393288815024,-186.81009367766762,0.044297737136552606,-0.2104702761354971,0.03034766036069531,0.04978131884522871,0.038197683702337844,0.020895894235947395,0.013761401338809192
RW-Only,1000.0,0,15,1,0.014023339238731183,-187.44937679293204,0.04468037758768506,-0.21137733461202723,0.03032121332964866,0.04978251282714871,0.038223525594212285,0.020956459746670018,0.013817991351894428
RW-Only,1000.0,0,10,2,0.013548143415115668,-186.33365987708183,0.042903200511047124,-0.20713087773445868,0.032338550987733986,0.049995221302537855,0.03715706394937486,0.019216823869557958,0.011698082823773102
BV-RW,1000.0,0,15,0,0.014314854447954025,36.405577969299756,0.0015888802763980303,0.03986076111162478,0.02249722891152368,0.03312749962069224,0.015778296837508646,-0.0040111796440618274,-0.01193454960916993
BV-RW,1000.0,0,15,1,0.014320390638877748,36.830216127267185,0.0016275808021278815,0.04034328695245194,0.02246632153514027,0.0330946996182531,0.015744715036437516,-0.004044979297663675,-0.01196376977849485
BV-RW,1000.0,0,10,2,0.01375093798405623,35.752197958098016,0.0014768087372545313,0.03842926927817189,0.024114176931883037,0.033504610224859704,0.014712268165564176,-0.005611510021006096,-0.013825952998136425
RW-BV,1000.0,0,15,0,0.014889000347291867,-5.410176051745318,3.395961683427817e-05,-0.005827488038128208,0.02434562745480776,0.035609833761665696,0.020236800051079862,0.0021298224019099723,-0.0054819632970016605
RW-BV,1000.0,0,15,1,0.014921384942019632,167.3174785314351,0.030289803245954317,0.174039659980001,0.018387018676390313,0.02405581438934615,0.0031184031535931903,-0.018186041118149473,-0.026840760292825682
RW-BV,1000.0,0,10,2,0.013427740651722909,21.393730995433184,0.0005434474424629299,0.023311959215454373,0.024498781556650737,0.034871759813121274,0.016095014919003347,-0.00477864636926318,-0.013039317000759776
RW-Only,1.0,0,15,0,0.01592033907430978,-1.2361770938366425,0.49183074880288113,-0.7013064585492432,0.05915480281312981,0.09871539651203047,0.1130210594667447,0.09201167571173381,0.08557653734768697
RW-Only,1.0,0,15,1,0.015803821774640184,-1.2411743516908431,0.49569916309933504,-0.7040590622237138,0.05911858098536315,0.0987937431047382,0.11320063261070794,0.09235835949119521,0.08591676113900339
RW-Only,1.0,0,10,2,0.015449403456560316,-1.236022603630572,0.48562153249057893,-0.6968655053097257,0.06249291856028146,0.10035139791076879,0.1117612664227906,0.08981090403694714,0.08280839919628052
BV-RW,1.0,0,15,0,0.01338921807751319,-0.2181477147886008,0.02320927440744036,-0.15234590380919477,0.03453371131764772,0.049389455480473854,0.04128113726989022,0.009111703154830498,-0.0022741919779142436
BV-RW,1.0,0,15,1,0.013373139087189536,-0.21806264414790177,0.02325620167804454,-0.15249984156727645,0.034478111704300096,0.04935909962239822,0.04124357537592697,0.009112059428164343,-0.0022568110908882666
BV-RW,1.0,0,10,2,0.012840774181903979,-0.2223358555942528,0.023077554729140526,-0.15191298407029036,0.03675950851721652,0.05105390980962723,0.03997383040486441,0.007282645658022441,-0.004314371610084868
RW-BV,1.0,0,15,0,0.015155128112242422,-0.06832676371579927,0.002135427209231655,-0.04621068284749485,0.03259126139898144,0.04313063311910271,0.03221519250632627,-0.0001824983363709791,-0.01159010190147108
RW-BV,1.0,0,15,1,0.014270269811379606,0.27197273748455375,0.03262245250125173,0.18061686660235118,0.024051400306256333,0.0293191759441293,0.008552001750745036,-0.02896828633770532,-0.04276016446949605
RW-BV,1.0,0,10,2,0.013164507866978965,0.0008421407129050427,3.233404785030203e-07,0.0005686303532333606,0.03172065699199078,0.041700995777236634,0.025089881278774217,-0.010070474644194805,-0.02287059751904315
RW-Only,0.01,0,15,0,0.021898819875547287,-1.0153103088193631,0.9462304524979817,-0.9727437753581257,0.13033169016599175,0.2411152007778902,0.39732320024167567,0.47549234504500465,0.48805095724815073
RW-Only,0.01,0,15,1,0.021736856177892575,-1.0181469098020965,0.947624994610341,-0.9734603199978622,0.13026381184067573,0.24147299057008825,0.39795593283838165,0.47689843092048106,0.4894462845871279
RW-Only,0.01,0,10,2,0.02215347625188843,-1.014097113536397,0.9453002292462329,-0.9722655137596069,0.13631240796435273,0.24841377433258818,0.4023538881100443,0.47480637891650723,0.4848759565966376
