arm,rho,noise_replicate,n_dropped,split_replicate,ols_intercept,ols_distortion_slope,ols_r_squared,residual_distortion_correlation,residual_mean_t0.167,residual_mean_t1,residual_mean_t10,residual_mean_t60,residual_mean_t120
RW-Only,1000.0,0,15,0,0.013363726109873705,-170.53655340057102,0.03984322282930797,-0.19960767227065207,0.02835003206880081,0.04654218689099734,0.03581226229306369,0.019120684048950398,0.012491059644239043
RW-Only,1000.0,0,15,1,0.0119123431443578,-194.59922146783842,0.05674911730754906,-0.2382207323209908,0.02710137762333,0.046160362166103176,0.03639094652214055,0.021222374957020878,0.014836941880311509
RW-Only,1000.0,0,10,2,0.012338653726731066,-181.72175358720116,0.04632422048367402,-0.21523062162172446,0.029665880053655252,0.04645050566387226,0.03484439803103663,0.019094666085700006,0.012256819515888022
BV-RW,1000.0,0,15,0,0.012514465228095963,15.01246211665586,0.00030489911499209654,0.01746136062831301,0.02079458134989933,0.0312320346158859,0.015806018957868522,-0.0022490716055744713,-0.009657347663464695
BV-RW,1000.0,0,15,1,0.01228939023470958,19.189949059727677,0.0005294745589673466,0.023010314186628203,0.019631326169577298,0.030337538586789895,0.015159448568265583,-0.002584224759905695,-0.00959264736669317
BV-RW,1000.0,0,10,2,0.012027355874233633,15.290672491409895,0.00031964499054093487,0.017878618250330523,0.021687548700718928,0.031024866220518834,0.014495674973092754,-0.0032847263504927893,-0.010570134915531812
RW-BV,1000.0,0,15,0,0.013473668931897841,-9.339005969984123,0.00011568969584208055,-0.010755914458671136,0.022047726765249215,0.032773569956113635,0.018802827899833903,0.0023494604906500716,-0.004470804340388584
RW-BV,1000.0,0,15,1,0.013600428065345943,148.59184472017253,0.027352737561380014,0.16538663054001657,0.016661322143655875,0.022372761482267897,0.0032528912592909047,-0.016122242189228392,-0.023945127548021878
RW-BV,1000.0,0,10,2,0.012265028754237748,11.40097375949821,0.0001751880481545287,0.013235862199143258,0.022462346805610853,0.03249355178828114,0.015486706709839036,-0.003322896223734677,-0.010852490920584651
RW-Only,1.0,0,15,0,0.01761495864327088,-1.0743797550368812,0.3977225808794965,-0.630652504061862,0.05648504661527606,0.09254429823186568,0.10427529867765999,0.08084065190268748,0.07452661701138351
