ensemble,arm,rho,noise_replicate,split_replicate,split_type,open_population,closed_population,recovery,train_mse,val_mse,train_val_gap,delta_G_opt_kj,delta_H_opt_kj,minus_T_delta_S_opt_kj,delta_H_abs_kj,kl_divergence_nats,beta_C,beta_H,hdxer_work_kj,hdxer_work_gamma,hdxer_work_source,delta_recovery,delta_train_mse,delta_val_mse,delta_train_val_gap,delta_delta_G_opt_kj,delta_open_population,delta_beta_C,delta_beta_H
ISO-Bimodal,RW-Only,1000.0,0,0,R3,0.07290437683107664,0.9270956231689232,18.22609420776916,0.0017116283114285715,0.004185738037519142,0.0024741097260905704,4.00636803399853,0.10703252007374553,4.076518967093981,0.06090578312283614,0.09913376424345496,0.35,2.0,0.24728,4.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1000_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_RW-Only0_fit_1/reweighting_gamma_4x10^0work.dat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-Only,1000.0,0,1,R3,0.12029050847396788,0.8797094915260322,30.072627118491972,0.0026058984195,0.003115181309413919,0.0005092828899139188,6.564172962364973,0.18047084297911228,6.6782108535955915,0.0733035500767309,0.14388304508647803,0.35,2.0,0.3589,4.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1000_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_RW-Only0_fit_2/reweighting_gamma_4x10^0work.dat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-Only,1000.0,0,2,R3,0.11497141595548502,0.8850285840445151,28.742853988871254,0.0017339581919148933,0.004204032198564199,0.0024700740066493053,6.21778641628709,0.16408805298586218,6.319480328973674,0.07061248723804606,0.11260241344572325,0.35,2.0,0.28087,4.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1000_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_RW-Only0_fit_3/reweighting_gamma_4x10^0work.dat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,BV-RW,1000.0,0,0,R3,0.09235566856964865,0.9076443314303514,23.088917142412164,0.0013089767057142857,0.0033111897267413815,0.002002213021027096,4.192067894782814,0.11779324666957727,4.267052887985843,0.01940814473994011,0.078636690929984,0.34017598550577915,2.589836234724571,0.19615,4.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1000_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_BV-RW1_fit_1/reweighting_gamma_4x10^0work.dat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,BV-RW,1000.0,0,1,R3,0.12688364361795046,0.8731163563820495,31.720910904487614,0.0018414875779999996,0.0025534663736866167,0.0007119787956866171,6.39917809896571,0.1898042293407491,6.512843415579703,0.04985441040829952,0.11827536136103388,0.3495754376268347,2.535094336854449,0.29502,4.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1000_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_BV-RW1_fit_2/reweighting_gamma_4x10^0work.dat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,BV-RW,1000.0,0,2,R3,0.13154936670151238,0.8684506332984876,32.88734167537809,0.0013514647778723402,0.0032937447594629694,0.0019422799815906292,6.411933704084331,0.18622883691770073,6.5203223980660585,0.038667130993278565,0.09821066071217027,0.3551604055006836,2.138152774981801,0.24497,4.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1000_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_BV-RW1_fit_3/reweighting_gamma_4x10^0work.dat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-BV,1000.0,0,0,R3,0.10272210042017652,0.8972778995798236,25.680525105044126,0.0013938449019047618,0.003469505421576946,0.002075660519672184,14.444504637140362,0.35230978633419346,14.654464197485519,0.4175235536562294,0.07704078533171951,0.3419543557929798,2.5151021558850535,0.0,3.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_analysis_output/calibration_peptide_gamma_0/selected_fits/rho1000/train_TeaA_ISO-Bimodal_rho1000_n0_RW-BV1_fit_1/reweighting_gamma_3x10^0work.dat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-BV,1000.0,0,1,R3,0.10272210042017652,0.8972778995798236,25.680525105044126,0.001988203805,0.002848572060007241,0.0008603682550072413,12.41347593937718,0.3768464153713327,12.57248751040767,0.8243428624021967,0.07704078533171951,0.3500209123715984,2.478302961657752,0.0,3.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_analysis_output/calibration_peptide_gamma_0/selected_fits/rho1000/train_TeaA_ISO-Bimodal_rho1000_n0_RW-BV1_fit_2/reweighting_gamma_3x10^0work.dat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-BV,1000.0,0,2,R3,0.10272210042017652,0.8972778995798236,25.680525105044126,0.0015007698370212764,0.0032281726036513373,0.001727402766630061,4.739441049833805,0.1673113694277738,4.784559310145818,0.4911218536560514,0.07704078533171951,0.35333527124497033,2.172424739205483,0.0,3.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_analysis_output/calibration_peptide_gamma_0/selected_fits/rho1000/train_TeaA_ISO-Bimodal_rho1000_n0_RW-BV1_fit_3/reweighting_gamma_3x10^0work.dat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-Only,1.0,0,0,R3,0.02205971813676283,0.9779402818632372,5.514929534190706,0.007525070754285714,0.013944162986615041,0.006419092232329327,10.287989990308596,0.2456478845139424,10.442357896260512,0.17669743836534021,0.6254152267373908,0.35,2.0,1.56002,4.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_RW-Only0_fit_1/reweighting_gamma_4x10^0work.dat,-12.711164673578455,0.005813442442857142,0.009758424949095899,0.003944982506238757,6.281621956310065,-0.050844658694313816,0.0,0.0
