rho,arm,calc_name,old_gamma,selected_gamma,score,source
1000.0,RW-Only,train_TeaA_ISO-Bimodal_rho1000_n0_RW-Only0_fit_1,1.0,4.0,0.7669116494277044,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1000_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_RW-Only0_fit_1/reweighting_gamma_4x10^0work.dat
1000.0,RW-Only,train_TeaA_ISO-Bimodal_rho1000_n0_RW-Only0_fit_2,1.0,4.0,0.7849418222804949,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1000_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_RW-Only0_fit_2/reweighting_gamma_4x10^0work.dat
1000.0,RW-Only,train_TeaA_ISO-Bimodal_rho1000_n0_RW-Only0_fit_3,1.0,4.0,0.782047901920074,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1000_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_RW-Only0_fit_3/reweighting_gamma_4x10^0work.dat
1000.0,BV-RW,train_TeaA_ISO-Bimodal_rho1000_n0_BV-RW1_fit_1,1.0,4.0,0.7647637465457248,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1000_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_BV-RW1_fit_1/reweighting_gamma_4x10^0work.dat
1000.0,BV-RW,train_TeaA_ISO-Bimodal_rho1000_n0_BV-RW1_fit_2,1.0,4.0,0.7802269207773349,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1000_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_BV-RW1_fit_2/reweighting_gamma_4x10^0work.dat
1000.0,BV-RW,train_TeaA_ISO-Bimodal_rho1000_n0_BV-RW1_fit_3,1.0,4.0,0.7724541231084179,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1000_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_BV-RW1_fit_3/reweighting_gamma_4x10^0work.dat
1000.0,RW-BV,train_TeaA_ISO-Bimodal_rho1000_n0_RW-BV0_fit_1,1.0,4.0,0.7669116494277044,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1000_n0_RW-BV0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_RW-BV0_fit_1/reweighting_gamma_4x10^0work.dat
1000.0,RW-BV,train_TeaA_ISO-Bimodal_rho1000_n0_RW-BV0_fit_2,1.0,4.0,0.7849418222804949,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1000_n0_RW-BV0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_RW-BV0_fit_2/reweighting_gamma_4x10^0work.dat
1000.0,RW-BV,train_TeaA_ISO-Bimodal_rho1000_n0_RW-BV0_fit_3,1.0,4.0,0.782047901920074,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1000_n0_RW-BV0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_RW-BV0_fit_3/reweighting_gamma_4x10^0work.dat
1.0,RW-Only,train_TeaA_ISO-Bimodal_rho1_n0_RW-Only0_fit_1,1.0,4.0,0.7597345863505454,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_RW-Only0_fit_1/reweighting_gamma_4x10^0work.dat
