arm,rho,noise_replicate,n_dropped,split_replicate,ols_intercept,ols_distortion_slope,ols_r_squared,residual_distortion_correlation,residual_mean_t0.167,residual_mean_t1,residual_mean_t10,residual_mean_t60,residual_mean_t120
RW-Only,1000.0,0,15,0,0.013863266749392283,-182.0665903782342,0.04298435427298297,-0.20732668490327777,0.02980001936612209,0.04886278049736858,0.03752361773335769,0.020350281652487333,0.013381648080461864
RW-Only,1000.0,0,15,1,0.013519673541001049,-188.31368284792333,0.0468867886171086,-0.2165335738796845,0.029521396914588886,0.048826371954452885,0.037738584949919246,0.020926776683563086,0.013952877532372239
RW-Only,1000.0,0,10,2,0.013277030132032025,-183.9104063569926,0.04307068249122059,-0.20753477417343996,0.03167265209041272,0.0490061462790743,0.03654031308070689,0.019067639266290834,0.011688374116750251
BV-RW,1000.0,0,15,0,0.0138108631996207,29.898073643240153,0.0011079201121590998,0.03328543393376363,0.02206091282807357,0.032651710693925015,0.01586143575504836,-0.0034867856921081573,-0.011269021012237809
BV-RW,1000.0,0,15,1,0.013825797590610533,33.03791418500273,0.0013676839892440285,0.03698221179491849,0.02175947781151503,0.03235659154538405,0.015586005985858227,-0.0037399833011427237,-0.011459194478655359
BV-RW,1000.0,0,10,2,0.013340489170658916,31.07497722604894,0.0011617037959786858,0.034083776140248004,0.02353566382740415,0.032838158359201224,0.01468908167476753,-0.0050632086364788675,-0.013083345762364218
RW-BV,1000.0,0,15,0,0.01455188854280792,-6.396103474162112,4.898820436893825e-05,-0.006999157404211432,0.023794437643268,0.03486223415022968,0.01992266886144696,0.0022142235991119462,-0.00520252669315009
RW-BV,1000.0,0,15,1,0.01461449726916883,163.04558966174432,0.029681909036656795,0.17228438419269698,0.01797434058389843,0.023574055825914264,0.0031611606587308226,-0.017682336591584108,-0.026136032222302836
RW-BV,1000.0,0,10,2,0.013165512619049063,19.235144353845968,0.00045259798935404216,0.021274350503690902,0.024012585677071444,0.034227047737940004,0.01596299111258336,-0.0044131070898054785,-0.012495429756650078
RW-Only,1.0,0,15,0,0.016346019769769547,-1.1840566546638454,0.4626558556567011,-0.6801881031425798,0.05825635518561568,0.09647917924303515,0.11012154933233108,0.0882846656671024,0.08191328010921428
