ensemble,arm,rho,noise_replicate,split_replicate,split_type,open_population,closed_population,recovery,train_mse,val_mse,train_val_gap,delta_G_opt_kj,delta_H_opt_kj,minus_T_delta_S_opt_kj,delta_H_abs_kj,kl_divergence_nats,beta_C,beta_H,hdxer_work_kj,hdxer_work_gamma,hdxer_work_source,delta_recovery,delta_train_mse,delta_val_mse,delta_train_val_gap,delta_delta_G_opt_kj,delta_open_population,delta_beta_C,delta_beta_H
ISO-Bimodal,RW-Only,1000.0,0,0,R3,0.05647025826044461,0.9435297417395554,14.117564565111152,0.0020745760776190473,0.004274051765905316,0.0021994756882862685,1.2787497950368656,0.03260982427440465,1.3007089639962786,0.018095098714828246,0.009009943638972428,0.35,2.0,0.02247,1.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1000_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_RW-Only0_fit_1/reweighting_gamma_1x10^0work.dat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-Only,1000.0,0,1,R3,0.06636212205756423,0.9336378779424357,16.590530514391055,0.003154607676,0.0032822010566753794,0.0001275933806753793,1.7306747393603716,0.047089027840784545,1.7599192847410343,0.02085391913135413,0.011233219953351838,0.35,2.0,0.02802,1.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1000_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_RW-Only0_fit_2/reweighting_gamma_1x10^0work.dat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-Only,1000.0,0,2,R3,0.06484741141061266,0.9351525885893874,16.211852852653166,0.002099510354893617,0.004399534388983,0.0023000240340893836,1.671038922894208,0.043323102554307026,1.6971570694525473,0.020763153957830325,0.008831360528792926,0.35,2.0,0.02203,1.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1000_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_RW-Only0_fit_3/reweighting_gamma_1x10^0work.dat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,BV-RW,1000.0,0,0,R3,0.062044437040593405,0.9379555629594067,15.51110926014835,0.0015977302666666665,0.003447234878978292,0.0018495046123116255,1.3063353909519955,0.03437719635151258,1.3286848244828469,0.004053196820521654,0.00721222624533949,0.34017598550577915,2.589836234724571,0.01799,1.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1000_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_BV-RW1_fit_1/reweighting_gamma_1x10^0work.dat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,BV-RW,1000.0,0,1,R3,0.0680205065873551,0.9319794934126446,17.005126646838775,0.0022945903895,0.002769985711568374,0.0004753953220683741,1.6333065155395523,0.0489888714739226,1.661942240613997,0.013886697877258129,0.009497718764114612,0.3495754376268347,2.535094336854449,0.02369,1.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1000_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_BV-RW1_fit_2/reweighting_gamma_1x10^0work.dat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,BV-RW,1000.0,0,2,R3,0.0695829132998651,0.9304170867001349,17.395728324966274,0.0016723864012765956,0.0035649246432994503,0.0018925382420228547,1.7454105334969352,0.04854687460457846,1.7719346702128609,0.010642368794691518,0.008016274664852354,0.3551604055006836,2.138152774981801,0.02,1.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1000_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_BV-RW1_fit_3/reweighting_gamma_1x10^0work.dat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-BV,1000.0,0,0,R3,0.06255993057620717,0.937440069423793,15.63998264405179,0.0015869674861904762,0.003810193938007337,0.002223226451816861,15.545933930577966,0.39068024979549176,15.776108755265534,0.42805449902876996,0.006080161440227993,0.3404691016531567,2.574155695013056,0.0,3.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/BV_bench/TeaA_ISO-Bimodal_rho1000_n0_RW-BV1_fit_BV_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_RW-BV1_fit_1/reweighting_gamma_3x10^0work.dat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-BV,1000.0,0,1,R3,0.06255993057620717,0.937440069423793,15.63998264405179,0.0022488559665,0.003126586440974127,0.0008777304744741273,13.454327101187658,0.4120788662611669,13.624504870529497,0.869688790266605,0.006080161440227993,0.34949174626659807,2.5253888100733763,0.0,3.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/BV_bench/TeaA_ISO-Bimodal_rho1000_n0_RW-BV1_fit_BV_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_RW-BV1_fit_2/reweighting_gamma_3x10^0work.dat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-BV,1000.0,0,2,R3,0.06255993057620717,0.937440069423793,15.63998264405179,0.0017142016995744676,0.0034765858504148587,0.001762384150840391,4.2913632437555345,0.16743132155935175,4.327800421007792,0.5215568284389038,0.006080161440227993,0.3543973182944866,2.1551971429376033,0.0,3.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1000/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1000_n0/Benchmark/BV_bench/TeaA_ISO-Bimodal_rho1000_n0_RW-BV1_fit_BV_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1000_n0_RW-BV1_fit_3/reweighting_gamma_3x10^0work.dat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-Only,1.0,0,0,R3,0.03767745780073976,0.9623225421992603,9.419364450184938,0.009821449061904762,0.01398188213806601,0.004160433076161247,3.6886589996787755,0.08650368606299122,3.746686520701847,0.06184853929135648,0.0696278145101947,0.35,2.0,0.17368,1.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_RW-Only0_fit_1/reweighting_gamma_1x10^0work.dat,-4.698200114926214,0.007746872984285715,0.009707830372160694,0.001960957387874979,2.40990920464191,-0.018792800459704856,0.0,0.0
