ensemble,arm,rho,noise_replicate,split_replicate,split_type,open_population,closed_population,recovery,train_mse,val_mse,train_val_gap,delta_G_opt_kj,delta_H_opt_kj,minus_T_delta_S_opt_kj,delta_H_abs_kj,kl_divergence_nats,beta_C,beta_H,delta_recovery,delta_train_mse,delta_val_mse,delta_train_val_gap,delta_delta_G_opt_kj,delta_open_population,delta_beta_C,delta_beta_H
ISO-Bimodal,RW-Only,1000.0,0,0,R3,0.05066309505938966,0.9493369049406102,62.62285400116885,0.0022333066799999995,0.00430152021780007,0.0020682135378000707,0.1417671799940819,0.0035176948868953987,0.14415557602345613,0.001939214969584894,0.00010368771879934333,0.35,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-Only,1000.0,0,1,R3,0.0515588861276654,0.9484411138723347,62.769026911390704,0.0033597797715000004,0.0033318778797028757,-2.7901891797124743e-05,0.17942875992828466,0.0047920929080138295,0.18241582189752734,0.0021781084962072266,0.00012106796084332481,0.35,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-Only,1000.0,0,2,R3,0.05141051695644423,0.9485894830435557,62.744871894995555,0.00223689624680851,0.004461964075826453,0.002225067829017943,0.17235285784621218,0.004424762318244932,0.17498732996058866,0.002195888255157115,9.556110453765954e-05,0.35,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,BV-RW,1000.0,0,0,R3,0.051224502801554994,0.948775497198445,62.71455715670265,0.0017245372138095243,0.0034908710580400606,0.0017663338442305363,0.13980482780927986,0.0035909264848186127,0.1421537916576333,0.0003433520471729743,8.189105847189541e-05,0.34017598550577915,2.589836234724571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,BV-RW,1000.0,0,1,R3,0.05169720910717547,0.9483027908928245,62.79152668811101,0.0024679764999999995,0.002833276212392197,0.00036529971239219767,0.17731553641592737,0.004947104348441342,0.18021498681700837,0.001444473571894239,0.00010206887853469754,0.3495754376268347,2.535094336854449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,BV-RW,1000.0,0,2,R3,0.051848901657302666,0.9481510983426975,62.816179410439354,0.0017969549919148932,0.0036442820173981073,0.001847327025483214,0.18789453042805568,0.00486523026041784,0.19051000584966993,0.0011032833694649008,8.614447512178162e-05,0.3551604055006836,2.138152774981801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-BV,1000.0,0,0,R3,0.05121083271449976,0.9487891672855001,62.71232797819184,0.0016611854080952379,0.003913054967627622,0.002251869559532384,15.971838106312003,0.4015028404888478,16.20696825952612,0.4350318572319038,6.603177940877819e-05,0.3401952876989691,2.588494087370144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-BV,1000.0,0,1,R3,0.05121083271449976,0.9487891672855001,62.71232797819184,0.0023430796589999996,0.0032089098434125995,0.0008658301844125999,13.71766166538172,0.4211316960244737,13.88853268872258,0.887122928422545,6.603177940877819e-05,0.34955766520464365,2.5343554784875115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-BV,1000.0,0,2,R3,0.05121083271449976,0.9487891672855001,62.71232797819184,0.0017893269182978721,0.003552586166508573,0.0017632592482107008,4.043802864994418,0.16600886270993204,4.07469250365279,0.534494241649228,6.603177940877819e-05,0.35506935711777116,2.1402703623956696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISO-Bimodal,RW-Only,1.0,0,0,R3,0.04836400877973416,0.9516359912202659,62.24393040891706,0.011079031224761905,0.013996210703753958,0.0029171794789920533,0.4597775713948956,0.01072637077031412,0.46715750922177274,0.0071271951254853454,0.0009124139137382694,0.35,2.0,-0.3789235922517875,0.008845724544761905,0.009694690485953887,0.0008489659411919826,0.3180103914008137,-0.002299086279655499,0.0,0.0
