experiment,level,gamma_coefficient,gamma_exponent,gamma,n_steps,completed,path
figure_scripts,residue,1,-2,0.01,39,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_1/reweighting_gamma_1x10^-2per_iteration_output.dat
figure_scripts,residue,1,-2,0.01,40,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_2/reweighting_gamma_1x10^-2per_iteration_output.dat
figure_scripts,residue,1,-2,0.01,35,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_3/reweighting_gamma_1x10^-2per_iteration_output.dat
figure_scripts,residue,1,-2,0.01,21,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_1_exp-2_3/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_1/reweighting_gamma_1x10^-2per_iteration_output.dat
figure_scripts,residue,1,-2,0.01,28,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_1_exp-2_3/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_2/reweighting_gamma_1x10^-2per_iteration_output.dat
figure_scripts,residue,1,-2,0.01,28,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_1_exp-2_3/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_3/reweighting_gamma_1x10^-2per_iteration_output.dat
figure_scripts,residue,1,-2,0.01,40,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_1/reweighting_gamma_1x10^-2per_iteration_output.dat
figure_scripts,residue,1,-2,0.01,54,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_2/reweighting_gamma_1x10^-2per_iteration_output.dat
figure_scripts,residue,1,-2,0.01,54,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_3/reweighting_gamma_1x10^-2per_iteration_output.dat
figure_scripts,residue,2,-2,0.02,17,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_1/reweighting_gamma_2x10^-2per_iteration_output.dat
figure_scripts,residue,2,-2,0.02,17,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_2/reweighting_gamma_2x10^-2per_iteration_output.dat
