level,selected_gamma,n_candidates,rho,arm,path
peptide,0.7000000000000001,9,0.01,BV-RW,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_1
peptide,0.8,9,0.01,BV-RW,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_2
peptide,0.8,9,0.01,BV-RW,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_3
peptide,0.8,9,0.01,RW-BV,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-BV0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-BV0_fit_1
peptide,0.8,9,0.01,RW-BV,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-BV0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-BV0_fit_2
peptide,0.8,9,0.01,RW-BV,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-BV0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-BV0_fit_3
peptide,0.8,9,0.01,RW-Only,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_1
peptide,0.8,9,0.01,RW-Only,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_2
peptide,0.8,9,0.01,RW-Only,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_3
peptide,0.8,9,1,BV-RW,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_1
peptide,0.8,9,1,BV-RW,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_2
peptide,0.8,9,1,BV-RW,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_3
peptide,0.8,9,1,RW-BV,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_RW-BV0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_RW-BV0_fit_1
peptide,0.8,9,1,RW-BV,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_RW-BV0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_RW-BV0_fit_2
